Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2023,1,1,7,1232,1225,1341,1340,WN,2891,N464WN,69,75,54,1,7,SMF,ONT,389,6,9,0,,0,0,0,0,0,0
2023,1,1,7,1918,1905,2043,2035,WN,462,N942WN,85,90,74,8,13,SMF,PHX,647,5,6,0,,0,0,0,0,0,0
2023,1,1,7,2206,2130,2334,2300,WN,1229,N558WN,88,90,73,34,36,SMF,PHX,647,6,9,0,,0,34,0,0,0,0
2023,1,1,7,1230,1200,1356,1330,WN,1355,N632SW,86,90,75,26,30,SMF,PHX,647,3,8,0,,0,26,0,0,0,0
2023,1,1,7,831,830,957,1000,WN,2278,N428WN,86,90,74,-3,1,SMF,PHX,647,5,7,0,,0,0,0,0,0,0
2023,1,1,7,1430,1420,1553,1550,WN,2386,N361SW,83,90,70,3,10,SMF,PHX,647,6,7,0,,0,0,0,0,0,0
2023,1,1,7,1936,1930,2217,2210,WN,409,N9,161,160,142,7,6,SMF,MDW,1846,8,11,0,,0,0,0,0,0,0
2023,1,1,7,1153,1200,1478,1505,WN,1131,N351,205,185,182,-27,-7,SMF,MDW,1846,12,11,0,,0,0,0,0,0,0
2023,1,1,7,1616,1615,1906,1900,WN,1212,N564WN,170,165,150,6,1,SMF,MDW,1846,9,11,0,,0,0,0,0,0,0
2023,1,1,7,700,700,947,955,WN,1665,N914WN,167,175,149,-8,0,SMF,MDW,1846,7,11,0,,0,0,0,0,0,0
2023,1,2,1,1230,1225,1339,1340,WN,2891,N480WN,69,75,54,-1,5,SMF,ONT,389,6,9,0,,0,0,0,0,0,0
2023,1,2,1,1917,1905,2042,2035,WN,462,N227WN,85,90,74,7,12,SMF,PHX,647,5,6,0,,0,0,0,0,0,0
2023,1,2,1,2208,2130,2333,2300,WN,1229,N8,85,90,73,33,38,SMF,PHX,647,5,7,0,,0,33,0,0,0,0
2023,1,2,1,1232,1200,1357,1330,WN,1355,N674AA,85,90,74,27,32,SMF,PHX,647,4,7,0,,0,27,0,0,0,0
2023,1,2,1,832,830,958,1000,WN,2278,N697SW,86,90,74,-2,2,SMF,PHX,647,5,7,0,,0,0,0,0,0,0
2023,1,2,1,1431,1420,1554,1550,WN,2386,N792SW,83,90,70,4,11,SMF,PHX,647,6,7,0,,0,0,0,0,0,0
2023,1,2,1,1937,1930,2218,2210,WN,409,N914WN,161,160,142,8,7,SMF,MDW,1846,8,11,0,,0,0,0,0,0,0
2023,1,2,1,1154,1200,1479,1505,WN,1131,N351,205,185,182,-26,-6,SMF,MDW,1846,12,11,0,,0,0,0,0,0,0
2023,1,2,1,1617,1615,1907,1900,WN,1212,N227WN,170,165,150,7,2,SMF,MDW,1846,9,11,0,,0,0,0,0,0,0
2023,1,2,1,701,700,948,955,WN,1665,N480WN,167,175,149,-7,1,SMF,MDW,1846,7,11,0,,0,0,0,0,0,0
